序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,涨停 2026.04.30,股票简称,首板 2026.04.30,概念,连续涨停天数(天) 2026.04.30,涨停次数(次) 2026.04.28 - 2026.04.30,成交额(元) 2026.04.30,量比 2026.04.30,主力净额(元) 2026.04.30,区间涨跌幅(%) 2026.04.24 - 2026.04.30,流通市值(元) 2026.04.30,涨停首次封板时间 2026.04.30,涨停封单额(元) 2026.04.30,涨停封单量(股) 2026.04.30,东财行业总分类,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,成交量(股) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,CHOICE_INNER_CODE,CHG<70>{2026-04-30},IN_OPTIONAL
48,002990,盛视科技,SZ,53.83,9.99,涨停,盛视科技,首板,国产芯片、多模态AI、车联网(车路云)、鸿蒙概念、昨日高振幅、数字经济、深圳特区、存储芯片、AI智能体、华为概念、最近多板、信创、华为昇腾、DeepSeek概念、人工智能、无人驾驶、物联网、人脸识别、机器人概念、智慧政务、安防概念、医疗器械概念、深股通、昨日首板、AIGC概念、2025年报预减、智慧城市、核污染防治、网络安全、机器视觉、人形机器人、一带一路、语音技术、传感器、冷链物流、电子后视镜,1,1,6.24亿,0.59,1.56亿,9.43,74.30亿,09:34:03,4798.94万,89.15万,计算机-计算机设备-其他计算机设备,4.890,53.83,48.50,8.54,1178.41万,925.03,5.6485,140.96亿,1001855425,9.99,False
49,603045,福达合金,SH,46.68,9.99,涨停,福达合金,首板,5G概念、碳基材料、新能源车、工业互联、节能环保、TOPCON电池、最近多板、通信技术、智能家居、百日新高 、小金属概念、2025年报预增、黄金概念、电网概念、BC电池、融资融券、充电桩、近期新高、昨日首板、金属回收、智慧城市、数据中心、光伏概念、新材料、HJT电池、比亚迪概念、智能电网、高铁、长江三角、风能、TOPCon电池、汽车电子、黄金回收,1,1,1.13亿,0.29,3033.36万,28.56,63.23亿,09:25:00,1.35亿,288.20万,有色金属-金属新材料-其他金属新材料,4.240,46.68,46.68,1.79,243.07万,8.73,5.0465,63.23亿,1000734410,9.99,False
50,603375,盛景微,SH,45.25,9.99,涨停,盛景微,首板,国产芯片、专精特新、融资融券、低空经济、昨日高振幅、近期新高、昨日首板、新能源车、2025年报预减、半导体概念、存储芯片、最近多板、东方财富热股、民爆概念、比亚迪概念、百日新高 、PVDF概念、汽车芯片、传感器、机器人概念,1,1,2.70亿,2.75,2708.83万,7.43,28.86亿,13:40:33,1189.17万,26.28万,电子-半导体-模拟芯片设计,4.110,45.25,40.99,9.64,614.82万,461.72,2.9412,45.55亿,1002662534,9.99,False
51,603687,大胜达,SH,17.18,9.99,涨停,大胜达,首板,国产芯片、包装材料、数字孪生、数字水印、共同富裕示范区、烟草、昨日高振幅、海南自贸、钙钛矿设备、虚拟机器人、昨日首板、AIGC概念、钙钛矿电池、工业互联、包装、ChatGPT概念、最近多板、东方财富热股、光伏概念、锂电池概念、DeepSeek概念、人工智能、富时罗素、物联网,1,1,11.54亿,0.96,1.29亿,-7.44,94.50亿,14:25:33,1.53亿,888.61万,轻工制造-包装印刷-纸包装,1.560,17.18,15.60,12.64,6952.51万,107.07,2.8877,94.50亿,1001247940,9.99,False
52,002685,华东重机,SZ,9.15,9.98,涨停,华东重机,首板,国产芯片、专精特新、昨日高振幅、GPU、新型工业化、航运概念、TOPCON电池、最近多板、东方财富热股、信创、百日新高 、DeepSeek概念、富时罗素、军工、融资融券、深股通、近期新高、昨日首板、2025年报预减、半导体概念、氢能源、光伏概念、一带一路、高端装备、传感器、TOPCon电池,1,1,12.21亿,2.22,2.59亿,15.38,92.19亿,14:15:03,5405.79万,590.80万,机械设备-工程机械-工程机械整机,0.830,9.15,8.29,13.76,1.39亿,42.58,5.5901,92.20亿,1000008960,9.98,False
53,601086,国芳集团,SH,8.93,9.98,涨停,国芳集团,首板,内贸流通、西部大开发、昨日首板、谷子店、新零售、沪股通、谷子经济、参股券商、最近多板、红利股,1,1,2.18亿,2.84,8910.16万,7.20,59.47亿,09:44:03,5617.26万,629.03万,商贸零售-一般零售-百货,0.810,8.93,8.50,3.71,2473.35万,35.76,3.6494,59.47亿,1000316964,9.98,False
54,600400,红豆股份,SH,2.76,9.96,涨停,红豆股份,首板,军工、融资融券、昨日高振幅、近期新高、工业互联、低价股、参股保险、沪股通、养老概念、最近多板、东方财富热股、创投、电商概念、互联网金融、服装、百日新高 、独角兽、新零售、网红经济、长江三角、参股银行、机器人概念,1,1,5.09亿,1.67,7823.55万,27.78,63.24亿,14:34:54,7411.62万,2685.37万,纺织服饰-服装家纺-非运动服装,0.250,2.76,2.49,8.35,1.91亿,282.30,4.5593,63.24亿,1000008764,9.96,False
55,603030,全筑股份,SH,2.65,9.96,涨停,全筑股份,首板,装配建筑、昨日首板、破发股、低价股、养老概念、最近多板、跨境电商、一带一路、智能家居、人工智能、建筑节能、物联网、长江三角、机器人概念、新型城镇化,1,1,1.14亿,0.89,4036.78万,7.29,34.90亿,09:30:01,2183.41万,823.93万,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,0.240,2.65,2.62,3.27,4312.86万,388.21,4.9916,34.90亿,1000305039,9.96,False
56,002640,跨境通,SZ,3.65,9.94,涨停,跨境通,首板,内贸流通、数字经济、深股通、昨日首板、贬值受益、标准普尔、最近多板、东方财富热股、消费电子概念、电商概念、跨境电商、三胎概念、互联网金融、拼多多概念、奶粉、富时罗素、网红经济、婴童概念、无线耳机、破增发价股,1,1,2.57亿,1.87,1.77亿,9.28,56.51亿,09:30:00,9637.31万,2640.36万,商贸零售-互联网电商-跨境电商,0.330,3.65,3.64,4.55,7048.10万,9.04,8.8307,56.87亿,1000008073,9.94,False
57,601106,中国一重,SH,4.54,9.93,涨停,中国一重,首板,镍矿、中盘股、工业母机、昨日高振幅、黑龙江自贸区、军民融合、最近多板、东方财富热股、核能核电、央国企改革、小金属概念、中字头、航母概念、破增发价股、军工、融资融券、昨日首板、中盘成长、破发股、中证500、商业航天、沪股通、金属镍、一带一路、微利股、高端装备、风能、特斯拉概念,1,1,7.17亿,2.81,2.21亿,8.35,311.34亿,10:36:37,1.19亿,2625.26万,机械设备-专用设备-能源及重型设备,0.410,4.54,4.08,2.40,1.65亿,4008.60,6.0277,311.34亿,1000007891,9.93,False
58,600052,东望时代,SH,4.44,9.90,涨停,东望时代,首板,电池技术、股权转让、储能概念、昨日高振幅、锂电池概念、央国企改革、昨日首板、体育产业、影视概念、长江三角、参股银行、最近多板,1,1,2.34亿,0.65,7835.02万,-3.06,37.48亿,09:42:50,8303.55万,1870.17万,公用事业-电力-热力服务,0.400,4.44,4.04,6.38,5387.72万,-48.07,1.7359,37.48亿,1000002499,9.90,False
59,600208,衢州发展,SH,4.55,9.90,涨停,衢州发展,首板,国产芯片、中盘股、区块链、共同富裕示范区、煤炭概念、乡村振兴、参股期货、昨日高振幅、元宇宙概念、参股保险、标准普尔、最近多板、黄金开采、东方财富热股、创投、互联网金融、央国企改革、独角兽、富时罗素、黄金概念、中盘价值、融资融券、昨日首板、2025年报预减、上证380、中证500、沪股通、知识产权、参股券商、第四代半导体、Web3.0、数据确权、NFT概念、长江三角、参股银行,1,1,8.90亿,0.60,2.32亿,5.81,387.11亿,09:42:50,6617.82万,1454.47万,房地产-房地产开发-住宅开发,0.410,4.55,4.21,2.33,1.99亿,30.78,0.9264,387.16亿,1000000443,9.90,False
60,601588,北辰实业,SH,2.00,9.89,涨停,北辰实业,首板,融资融券、昨日高振幅、数字经济、昨日首板、低价股、沪股通、标准普尔、养老概念、小米概念、最近多板、电子竞技、京津冀、京津冀一体化、央国企改革、富时罗素,1,1,2.43亿,2.20,4810.30万,12.99,53.20亿,10:03:18,897.82万,448.91万,房地产-房地产开发-住宅开发,0.180,2.00,1.81,4.67,1.24亿,-11.16,1.0279,67.34亿,1000002244,9.89,False
61,002207,*ST准油,SZ,6.87,5.05,涨停,*ST准油,首板,西部大开发、新疆振兴、昨日首板、页岩气、俄乌冲突概念、最近多板、油气资源、油气开采及服务、一带一路、央国企改革、油气设服、资源开采概念、天然气,1,1,2.64亿,1.18,6078.93万,-1.29,17.92亿,09:30:57,2383.17万,346.89万,石油石化-油服工程-油田服务,0.330,6.87,6.70,14.85,3871.82万,-28.65,153.7336,18.00亿,1000006670,5.05,False
62,603828,*ST利达,SH,4.79,5.04,涨停,*ST利达,首板,PPP模式、装配建筑、昨日首板、股权激励、建筑节能、最近多板、新型城镇化、光伏建筑一体化,1,1,5578.86万,1.89,973.09万,-8.41,28.55亿,14:48:53,80.28万,16.76万,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,0.230,4.79,4.33,2.10,1252.94万,234.25,5.5749,28.55亿,1000305041,5.04,False
63,002856,*ST美芝,SZ,13.78,5.03,涨停,*ST美芝,首板,粤港澳大湾区、央国企改革、昨日首板、垃圾分类、长期破净、深圳特区、最近多板、新型城镇化,1,1,6692.68万,0.51,2433.20万,16.29,17.07亿,09:25:00,1.10亿,797.14万,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,0.660,13.78,13.78,3.92,485.68万,-187.50,-36.6400,18.65亿,1000317654,5.03,False
64,001270,*ST铖昌,SZ,140.35,5.00,涨停,*ST铖昌,首板,军工、国产芯片、军工信息化、专精特新、6G概念、5G概念、共同富裕示范区、2025年报扭亏、昨日首板、卫星通信、第三代半导体、商业航天、氮化镓、最近多板、通信技术、军民融合、卫星导航、毫米波概念、卫星互联网,1,1,7.98亿,0.82,1.67亿,-11.90,285.61亿,10:27:27,1.17亿,83.14万,国防军工-军工电子Ⅱ-军工电子Ⅲ,6.680,140.35,132.00,2.85,580.18万,161.70,18.5393,289.28亿,1002686345,5.00,False
65,002977,*ST天箭,SZ,27.11,5.00,涨停,*ST天箭,首板,军工、军工信息化、西部大开发、卫星导航、雷达、导弹、昨日首板、卫星通信、第三代半导体、商业航天、氮化镓、最近多板,1,1,1.53亿,1.22,2961.61万,-11.14,18.07亿,13:45:48,631.91万,23.31万,国防军工-军工电子Ⅱ-军工电子Ⅲ,1.290,27.11,25.56,8.68,578.28万,208.84,3.8288,32.56亿,1001606678,5.00,False
66,600476,*ST湘邮,SH,11.56,5.00,涨停,*ST湘邮,首板,北斗导航、国资云概念、车联网(车路云)、乡村振兴、数字经济、数字乡村、长期破净、存储芯片、最近多板、跨境电商、互联网金融、央国企改革、独角兽、人工智能、蚂蚁概念、阿里概念、云计算、数据要素、数据安全、智慧政务、安防概念、移动支付、数字货币、无人配送、昨日首板、智慧城市、碳交易、数据中心、国产软件、卫星导航、时空大数据、智能物流、碳中和、大数据,1,1,9128.51万,0.82,1806.76万,8.44,18.62亿,10:20:17,1313.07万,113.59万,计算机-IT服务Ⅱ-IT服务Ⅲ,0.550,11.56,10.77,5.07,816.89万,177.17,-4.2133,18.62亿,1000001752,5.00,False
67,600624,ST复华,SH,4.62,5.00,涨停,ST复华,首板,创投、国产软件、仿制药一致性评价、数字经济、央国企改革、昨日首板、长江三角、量子科技、肝炎概念、最近多板,1,1,4559.84万,1.71,1548.67万,7.94,31.39亿,09:36:33,933.25万,202.00万,医药生物-化学制药-化学制剂,0.220,4.62,4.42,1.46,992.19万,-71.75,7.3855,31.39亿,1000000919,5.00,False
68,603580,*ST艾艾,SH,21.21,5.00,涨停,*ST艾艾,首板,消费电子概念、2025年报扭亏、百日新高 、近期新高、贬值受益、海峡两岸、台资控股、最近多板,1,1,555.72万,0.13,270.44万,11.75,27.72亿,09:25:00,3996.80万,188.44万,基础化工-塑料-其他塑料制品,1.010,21.21,21.21,0.20,26.20万,248.35,6.0904,27.72亿,1000450254,5.00,False
69,603389,*ST亚振,SH,61.82,4.99,涨停,*ST亚振,首板,首发经济、稀土永磁、培育钻石、近期新高、钛白粉概念、昨日首板、旅游概念、最近多板、创投、历史新高 、百日新高 、智能家居、小金属概念,1,1,1.78亿,1.21,509.77万,21.69,162.43亿,13:59:11,897.50万,14.52万,轻工制造-家居用品-成品家居,2.940,61.82,58.81,1.12,294.69万,-274.65,81.0080,162.43亿,1000303917,4.99,False
70,603559,ST通脉,SH,7.64,4.95,涨停,ST通脉,首板,5G概念、昨日首板、时空大数据、华为概念、大数据、数据中心、最近多板、破增发价股、云计算,1,1,6565.19万,1.69,414.88万,12.85,30.66亿,10:31:29,621.09万,81.29万,通信-通信服务-通信工程及服务,0.360,7.64,7.21,2.17,870.37万,113.73,3.9163,30.66亿,1000326755,4.95,False
71,000838,*ST发展,SZ,1.95,4.84,涨停,*ST发展,首板,污水处理、固废处理、融资融券、西部大开发、租售同权、低价股、长期破净、节能环保、最近多板、破增发价股,1,2,3306.89万,0.22,1498.77万,14.04,20.55亿,09:30:00,2125.95万,1090.23万,房地产-房地产开发-住宅开发,0.090,1.95,1.92,1.61,1700.87万,-37.22,-10.0022,21.46亿,1000009218,4.84,False
